location,total_cases,total_deaths,total_vaccination_doses
Malaysia,2870758.0,31978.0,63730246.0
Maldives,138880.0,276.0,843409.0
Mali,30052.0,714.0,1488256.0
Malta,67717.0,550.0,1213371.0
Marshall Islands,7.0,0.0,0.0
Mauritania,58243.0,953.0,1937226.0
Mauritius,105935.0,822.0,2036896.0
Mexico,4942590.0,306091.0,165750330.0
Micronesia (country),1.0,0.0,0.0
Moldova,440698.0,10642.0,1931716.0
Monaco,8183.0,47.0,65140.0
Mongolia,841848.0,2036.0,5446952.0
Montenegro,219775.0,2564.0,654000.0
Montserrat,163.0,1.0,3804.0
Morocco,1132716.0,15400.0,52203154.0
Mozambique,223827.0,2173.0,19066507.0
Myanmar,535532.0,19310.0,40953452.0
Namibia,155899.0,3967.0,773702.0
Nauru,0.0,0.0,15128.0
Nepal,953913.0,11743.0,31642503.0
Netherlands,4547587.0,21356.0,32289550.0
New Caledonia,20486.0,283.0,363290.0
New Zealand,16620.0,52.0,9461050.0
Nicaragua,13681.0,220.0,8659628.0
Niger,8652.0,298.0,1798575.0
Nigeria,253181.0,3136.0,20617588.0
Niue,0.0,0.0,2628.0
North America,88065988.0,1297958.0,906250023.0
North Korea,0.0,0.0,0.0
North Macedonia,268901.0,8409.0,1804728.0
Northern Cyprus,0.0,0.0,617389.0
Northern Ireland,0.0,0.0,3670010.0
Northern Mariana Islands,0.0,0.0,0.0
Norway,781049.0,1440.0,11038767.0
Oceania,2792826.0,6221.0,62872419.0
Oman,338880.0,4146.0,6600551.0
Pakistan,1430366.0,29301.0,174085175.0
Palau,1633.0,0.0,0.0
Palestine,524716.0,5098.0,3425379.0
Panama,697124.0,7716.0,7040071.0
Papua New Guinea,36866.0,597.0,522939.0
Paraguay,583662.0,17321.0,7478535.0
Peru,3239538.0,205834.0,57709589.0
Philippines,3560202.0,54003.0,126951502.0
Pitcairn,0.0,0.0,94.0
Poland,4886154.0,105194.0,51658515.0
Portugal,2689167.0,19905.0,22352429.0
Puerto Rico,0.0,0.0,0.0
Qatar,339147.0,645.0,5819013.0
Romania,2216525.0,60025.0,16432047.0
Russia,11670366.0,324672.0,154374065.0
Rwanda,128891.0,1440.0,16555832.0
Saint Helena,4.0,0.0,7892.0
Saint Kitts and Nevis,5422.0,33.0,56698.0
Saint Lucia,20942.0,328.0,108090.0
Saint Pierre and Miquelon,891.0,0.0,0.0
Saint Vincent and the Grenadines,9447.0,94.0,64440.0
Samoa,32.0,0.0,267016.0
San Marino,12884.0,109.0,63366.0
Sao Tome and Principe,5890.0,69.0,182238.0
Saudi Arabia,687264.0,8940.0,57328405.0
Scotland,0.0,0.0,11844646.0
Senegal,84999.0,1946.0,1923773.0
Serbia,1677798.0,13629.0,8402695.0
Seychelles,37190.0,154.0,190758.0
Sierra Leone,7623.0,125.0,1409313.0
Singapore,352811.0,855.0,13006440.0
Sint Maarten (Dutch part),0.0,0.0,60098.0
Slovakia,1569299.0,17830.0,5635086.0
Slovenia,710821.0,5866.0,2915311.0
Solomon Islands,1183.0,9.0,271063.0
Somalia,25388.0,1335.0,1610500.0
South Africa,3605222.0,95093.0,29884699.0
South America,48594520.0,1215879.0,721218796.0
South Korea,864042.0,6772.0,114604100.0
South Sudan,16794.0,137.0,342153.0
Spain,9961253.0,93225.0,90272896.0
Sri Lanka,611185.0,15441.0,35764626.0
Sudan,57632.0,3441.0,3718299.0
Suriname,73769.0,1263.0,497428.0
Sweden,2070456.0,15855.0,19520828.0
Switzerland,2220539.0,12708.0,15318268.0
Syria,51402.0,2989.0,2974507.0
Taiwan,18790.0,851.0,41984449.0
Tajikistan,17706.0,125.0,8305260.0
Tanzania,33230.0,789.0,3226750.0
Thailand,2440542.0,22173.0,116749385.0
Timor,19946.0,122.0,1237678.0
Togo,36491.0,268.0,2515341.0
Tokelau,0.0,0.0,1936.0
Tonga,1.0,0.0,138684.0
Trinidad and Tobago,111549.0,3404.0,1480799.0
Tunisia,909813.0,26288.0,12757250.0
Turkey,11619882.0,87416.0,141981790.0
Turkmenistan,0.0,0.0,51746.0
Turks and Caicos Islands,5727.0,34.0,56343.0
Tuvalu,0.0,0.0,12114.0
Uganda,161839.0,3533.0,12911692.0
Ukraine,4255206.0,106880.0,30366236.0
United Arab Emirates,845058.0,2243.0,23502501.0
United Kingdom,17315893.0,184106.0,138143343.0
United States,75244090.0,888942.0,550116547.0
United States Virgin Islands,0.0,0.0,0.0
Upper middle income,98672197.0,2259889.0,4503911791.0
Uruguay,668425.0,6479.0,7437334.0
Uzbekistan,223008.0,1564.0,40165642.0
Vanuatu,7.0,1.0,178464.0
Vatican,29.0,0.0,0.0
Venezuela,485974.0,5447.0,35352675.0
Vietnam,2275727.0,37777.0,181280001.0
Wales,0.0,0.0,6768192.0
Wallis and Futuna,454.0,7.0,12287.0
World,379168986.0,5707833.0,10084493601.0
Yemen,11019.0,2012.0,744060.0
Zambia,305047.0,3917.0,2386312.0
Zimbabwe,229666.0,5338.0,7632514.0
